time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,
2700,5.62189230002,29.0808773258,40.2058682047,39.5116,97.283,56.752,3144,
1800,5.20827883121,27.0035971379,41.8933337972,36.7828,94.309,48.7529,3885,
4500,5.48257319758,27.6802615636,41.889212178,37.7206,95.3929,50.9893,6953,
5400,5.39663208096,25.8063146781,42.6196535571,35.0832,92.159,50.7067,7590,
1800,5.34508974104,27.1269205632,41.8629186465,36.8953,94.0236,51.7991,2478,
3600,5.70161166873,27.9283607528,41.3461057497,37.8816,95.4601,55.448,3144,
2700,5.41467034445,28.0078259729,40.9886508814,38.0475,95.4328,53.752,3885,
5400,5.01399495764,24.7218659483,43.4104130991,33.5762,90.6676,44.8071,6953,
6300,5.88689661667,35.3860292434,39.2141429936,45.6226,102.7196,66.6249,7590,
2700,5.26484070508,26.7685066257,41.751229439,36.686,93.9872,50.5796,2478,
4500,5.62325909945,26.7087195011,42.0972341999,36.4794,94.0486,53.6996,3144,
3600,5.58063585923,27.4479353429,41.7640585586,37.6823,95.2552,54.4933,3885,
6300,5.32648032167,31.7231427306,40.9740389928,41.3456,98.5159,57.0631,6953,
7200,5.7983372111,31.4918081602,40.3311913097,41.0134,98.3718,61.5236,7590,
3600,5.49568195376,26.7798326844,41.7693852656,36.7306,94.1518,52.6453,2478,
5400,5.13246975068,27.020677234,42.238184947,36.5639,93.6228,47.5449,3144,
4500,4.99447083244,24.6766460496,43.2380476852,33.918,90.7841,45.0418,3885,
7200,5.74222446334,30.9795531513,40.9307876264,40.2787,97.4578,60.1964,6953,
8100,5.80543581951,31.9531062764,40.4300648141,41.6821,99.1739,61.2711,7590,
4500,5.19012444193,27.2145648348,41.9813156536,36.834,94.2339,49.0782,2478,
6300,5.37009608878,33.1547214369,40.0120777154,42.7198,100.4005,57.5156,3144,
5400,5.49292317172,26.5161752599,42.3533527447,35.9682,93.3729,51.7298,3885,
8100,5.86720056734,31.572698765,40.2122727303,41.9743,99.0401,60.6764,6953,
9000,5.77720395629,32.5989245944,39.6506698275,42.7486,99.7974,60.8978,7590,
5400,5.09099143798,25.3212974885,42.8800684693,34.5233,91.6586,47.1938,2478,
7200,5.70249353297,30.9689575706,40.8519959542,40.1522,97.0277,60.4907,3144,
6300,5.84778332639,33.2586391942,39.7318939587,43.3555,100.3926,63.7493,3885,
9000,5.7055841438,34.5451606925,39.0637252121,44.5226,101.6924,63.3911,6953,
9900,5.85145075126,33.8814921665,39.4900779178,43.8011,101.7873,63.84,7590,
6300,5.53329854187,32.9562064606,40.0162802039,42.5797,99.8237,60.1004,2478,
7200,5.53180297279,32.4248246637,40.3225617617,41.8585,99.1492,57.7031,3885,
8100,6.18545011194,34.88982307,38.6647131586,45.4759,102.8775,69.056,3144,
9900,5.95330478068,32.573601556,39.8742984963,42.2976,99.6954,64.3342,6953,
10800,6.09276422815,34.767503116,39.1182396386,44.9853,102.0281,65.8969,7590,
7200,5.399443753,31.7238712799,40.6011630146,41.03,98.3066,57.8711,2478,
8100,5.71780819472,33.383179253,39.6147086543,43.3207,100.4735,62.8249,3885,
9000,6.02237138143,35.9596443909,38.7483505999,46.365,103.7596,66.4782,3144,
10800,5.63501779632,34.6377363316,38.7902096898,44.9497,102.4049,60.72,6953,
11700,6.09327526194,32.1448317801,40.3969210383,41.2634,98.8042,66.7582,7590,
8100,5.71028836707,31.3878961876,40.1832708671,41.2953,98.6167,61.192,2478,
9000,5.65421538848,34.1891511558,39.251968828,44.2685,101.5475,62.4027,3885,
9900,5.92270105933,33.1576225069,39.4071974284,43.3674,100.9702,64.0791,3144,
11700,6.5733072208,36.3985291226,38.9164628444,46.5486,104.0463,75.1547,6953,
12600,6.13532712188,35.4099216619,39.7787647826,45.2221,102.3342,65.9707,7590,
9000,6.02322386844,33.82154275,39.0838703902,44.1713,101.4642,63.944,2478,
9900,5.82030449095,32.8995730508,39.7855658593,42.9803,100.5036,61.9884,3885,
10800,5.93137228364,33.4107930991,39.3285378798,43.6153,100.8452,63.2169,3144,
12600,6.06497463387,34.664066108,39.5402066108,44.5872,101.7689,65.4471,6953,
13500,6.18826921507,33.6760606171,39.8235453183,43.3609,100.7334,70.1547,7590,
9900,6.1431385284,34.5167465293,38.7686912379,45.4295,102.9946,68.6996,2478,
10800,5.95495892366,32.3084464483,40.2483249249,41.9302,99.445,63.48,3885,
11700,6.19082784762,37.5158863373,38.8867609139,47.2476,104.6665,70.1716,3144,
13500,5.90320059193,32.5526339144,40.1175029639,41.8957,99.5173,63.4693,6953,
14400,5.77152350046,36.0591699831,39.1778268888,46.2451,103.4196,63.6631,7590,
10800,6.4658355438,36.7047458261,38.6163206031,46.9845,104.1336,73.1627,2478,
11700,6.00880399963,33.8070266515,39.7252424565,43.5203,101.1335,65.3618,3885,
12600,5.98906208156,31.333132562,40.9376698187,40.6131,97.5475,62.9004,3144,
14400,5.74433844128,31.9182717261,40.5426049057,41.0368,98.2209,61.7769,6953,
11700,5.97069045923,33.8631483447,40.0927246918,43.2635,100.7167,64.2027,2478,
13500,5.71853764231,32.3469882745,39.9123444172,42.0069,99.4379,60.2036,3144,
12600,5.95927946099,36.6445638241,39.5232201844,46.336,103.8164,68.1938,3885,
12600,6.25305186649,33.0856210291,39.8016775983,42.5842,100.083,68.9173,2478,
14400,5.83696376517,30.5529587228,41.0297611879,39.7585,97.24,60.728,3144,
13500,6.28953327194,34.3121781565,39.2477862,44.0006,101.6535,68.5076,3885,
13500,6.06457689879,35.7162395853,39.4200452995,45.576,102.939,69.2338,2478,
