time,density,stop_time,speed,delay_time,travel_time,mean_queue,seed,,,,,
2700,1.9571361294,18.4472516356,46.5031017019,26.0823,84.0626,14.9778,2124,,,,,
5400,2.51299751588,20.9030489154,45.4984905067,28.4854,85.9134,20.4569,2117,,,,,
6300,3.5951277463,27.7058073407,43.8548096506,35.3469,92.2732,35.968,1276,,,,,
1800,1.48611216308,14.8565103998,47.8539135278,21.7642,79.7651,10.1467,1453,,,,,
4500,2.61060712614,21.6563008339,44.8832399287,29.5908,87.4098,22.0044,2412,,,,,
900,1.53886216283,17.2004043777,46.7257208461,24.6313,82.5933,11.0898,1888,,,,,
3600,2.04803974036,22.124736857,45.4032029052,29.6412,87.0865,17.0462,2124,,,,,
2700,2.07319079456,21.1894896045,44.7694896869,29.2058,87.1341,17.7689,1453,,,,,
6300,3.86489463695,30.0328028613,42.6242882293,38.1409,94.9303,41.0018,2117,,,,,
5400,2.73971939067,22.149109212,44.9210940577,29.998,87.1542,22.7618,2412,,,,,
7200,4.00869512834,30.8119133606,41.9847450544,39.0747,95.9018,42.0213,1276,,,,,
1800,1.59310230795,21.1997695062,45.2586514023,28.8897,86.5543,13.0729,1888,,,,,
4500,2.60600886338,22.2510247712,45.505585189,29.8778,86.6693,22.3147,2124,,,,,
3600,1.9788412579,24.3235574869,44.5988378719,31.9172,89.8105,17.1467,1453,,,,,
7200,3.64931311989,30.6103472904,41.8829628349,39.1896,95.656,38.3911,2117,,,,,
